title,slug,subtitle,location,state,region,category,platform,price,rating,reviewCount,sleeps,bedrooms,featured,editorsPick,isNew,imageUrl,affiliateUrl,description
"The Lighthouse House — Currituck","lighthouse-house-currituck-nc","Outer Banks lighthouse with wrap-around balcony views","Currituck, North Carolina","North Carolina","Southeast",4,"Airbnb",225,4.91,48,3,1,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-882621039598390726/original/96f84c77-3d2f-4a2f-bfe2-d86b5110bb2c.jpeg","https://www.airbnb.com/rooms/882621039598390726","A lighthouse-tower stay on North Carolina's Outer Banks with a kitchenette and wrap-around balcony views of the Currituck Sound. Sleep three stories above the marshes where wild horses still roam the beaches below."
"Big Bay Point Lighthouse Bed & Breakfast","big-bay-point-lighthouse-mi","Lake Superior cliff lighthouse, the last of its kind","Big Bay, Michigan","Michigan","Midwest",4,"Direct",395,4.95,,2,1,false,false,false,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/5c/7e/8c/big-bay-point-lighthouse.jpg?w=900&h=500&s=1","https://bigbaylighthouse.com/","Big Bay Point Lighthouse is one of the last resident lighthouse inns in America — perched on a Lake Superior cliff in the Upper Peninsula with sweeping sunrise and sunset views. Seven guest rooms, breakfast included, and a lighthouse beam that still turns each night."
"Historic 1850 Lighthouse on Lake Superior","eagle-harbor-lighthouse-mi","Keweenaw Peninsula lighthouse, Superior wilderness","Mohawk, Michigan","Michigan","Midwest",4,"VRBO",495,4.93,,6,3,false,false,false,"https://media.vrbo.com/lodging/35000000/34080000/34077500/34077479/3daa08d4.jpg","https://www.vrbo.com/3893239ha","A fully restored 1850 lighthouse on Lake Superior's Keweenaw Peninsula — the most remote and dramatic stretch of the Great Lakes. Three bedrooms, superior sunsets, and the immense silence of the largest freshwater lake in the world."
"Braddock Point Lighthouse","braddock-point-lighthouse-ny","128-year-old Coast Guard lighthouse on Lake Ontario","Hilton, New York","New York","Northeast",4,"Airbnb",425,4.96,55,6,3,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-1021379730224277192/original/95c7c931-e62e-46c9-8aa5-2230f24921db.jpeg","https://www.airbnb.com/rooms/1021379730224277192","Braddock Point Lighthouse — a 128-year-old Coast Guard-maintained lighthouse on the shores of Lake Ontario outside Rochester. Three bedrooms inside the original keeper's dwelling, with the tower itself still actively guiding ships."
"Cove Point Lighthouse Keeper's House","cove-point-lighthouse-md","Chesapeake Bay keeper's quarters at a working lighthouse","Lusby, Maryland","Maryland","Northeast",4,"Airbnb",355,4.91,164,6,3,false,false,false,"https://a0.muscache.com/im/pictures/7f103e4d-1729-40c5-9cfb-fa6657551b05.jpg","https://www.airbnb.com/rooms/31991366","The keeper's house at Cove Point Lighthouse on the Chesapeake Bay — stay at one of Maryland's most historic lighthouses while the tower still flashes above you. Three bedrooms, Chesapeake sunsets, and living history."
"Bristol Ferry Lighthouse","bristol-ferry-lighthouse-ri","Restored 1855 lighthouse on Narragansett Bay","Bristol, Rhode Island","Rhode Island","Northeast",4,"Airbnb",395,4.94,72,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-716085130518801483/original/6c48fab6-2596-4611-b641-dd0eaf890346.png","https://www.airbnb.com/rooms/716085130518801483","Bristol Ferry Lighthouse — a beautifully restored 1855 lighthouse on Narragansett Bay in Rhode Island. Water views in every direction, the classic New England lighthouse keeper's life, and the quiet dignity of a building that guided ships for over a century."
"Wings Neck Lighthouse","wings-neck-lighthouse-ma","Iconic Cape Cod lighthouse on its own private peninsula","Pocasset, Massachusetts","Massachusetts","Northeast",4,"Airbnb",695,4.97,235,8,4,false,false,false,"https://a0.muscache.com/im/pictures/9826888/9533f5a4_original.jpg","https://www.airbnb.com/rooms/723702","Wings Neck Lighthouse is one of the most celebrated lighthouse rentals in America — a historic 1875 tower on its own private peninsula on Buzzards Bay at Cape Cod. Four bedrooms, private beach, and stunning 360-degree water views."
"Sitka Lighthouse — Private Luxury in Alaska","sitka-lighthouse-ak","Remote Alaskan lighthouse, Inside Passage grandeur","Sitka, Alaska","Alaska","West",4,"Airbnb",475,4.96,65,6,3,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-41713129/original/2fa7d851-d564-4648-8a78-8de265358d1f.jpeg","https://www.airbnb.com/rooms/41713129","A private luxury lighthouse on the wild shores of Sitka, Alaska — backdropped by the snow-capped peaks of the Inside Passage. Three bedrooms, complete seclusion, and the possibility of seeing humpbacks and sea otters from your doorstep."
"Stay in a Working Lighthouse!","working-lighthouse-brookings-or","Active Pacific lighthouse, Pacific Ocean views","Brookings, Oregon","Oregon","West",4,"Airbnb",275,4.93,42,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-951008117213765564/original/a3f2fe22-d0b1-4c28-958f-ff91aacb8387.jpeg","https://www.airbnb.com/rooms/951008117213765564","A privately owned working lighthouse on the Oregon Coast with sweeping Pacific Ocean views. Sleep in the keeper's quarters while the light still sweeps the ocean below — one of the genuinely rarest overnight stays in America."
"Lighthouse with Hot Tub — San Juan Islands Views","lighthouse-san-juan-anacortes-wa","Island-dotted Pacific panoramas from your own lighthouse","Anacortes, Washington","Washington","West",4,"Airbnb",345,4.95,88,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-864795923854300257/original/14752372-f2f9-498b-bc71-9c5cdd2369b0.jpeg","https://www.airbnb.com/rooms/864879375694656973","A lighthouse perched above the Salish Sea with a hot tub and sweeping views of the San Juan Islands — one of the most scenic vistas in the Pacific Northwest. Watch ferries glide between islands while the sunset turns the water gold."
"Hobbit House of Pawling","hobbit-house-pawling-ny","Hudson Valley earth home with private hot tub","Pawling, New York","New York","Northeast",6,"Airbnb",265,4.89,175,4,2,false,false,false,"https://a0.muscache.com/im/pictures/1ce4f90a-c649-47b5-b5c9-9420cffd1c8f.jpg","https://www.airbnb.com/rooms/44528835","A cozy, one-of-a-kind hobbit house in the Hudson Valley with a private hot tub — an earthen fantasy retreat two hours from Manhattan. Round doors, curved walls, and the rolling Pawling hills stretching outside."
"Luxury Hobbit House with Private Hot Tub","luxury-hobbit-house-sanford-me","Year-round earth home retreat in southern Maine","Sanford, Maine","Maine","Northeast",6,"Airbnb",285,4.95,148,4,2,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-53674760/original/3eb019cd-0af6-4d07-b397-3f892e6703ae.jpeg","https://www.airbnb.com/rooms/53674760","A luxurious hobbit house at Littlefield Retreat — a 15-acre woodland village on a Maine pond with treehouses and earth homes. Private hot tub, two bedrooms, and the feeling of a fairy tale that somehow also has heated floors."
"Underground Hobbit Home in the Deep Forest","underground-hobbit-rockford-mi","Custom earth home under 10 acres of Michigan forest","Rockford, Michigan","Michigan","Midwest",6,"Airbnb",215,4.93,62,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-706591064952458895/original/1f834dbc-14c4-4fce-a19f-c919a7c6e27b.jpeg","https://www.airbnb.com/rooms/706591064952458895","A custom-built hobbit home nestled under the floor of a 10-acre Michigan forest — hand-carved rooms, earthen walls, and a sense of total immersion in the woods. One of the most genuinely unusual places to sleep in the Midwest."
"Wee Nook — A Hobbit Hole","wee-nook-hobbit-mcewen-tn","Tucked underground in the Tennessee woods","McEwen, Tennessee","Tennessee","Southeast",6,"Airbnb",165,4.91,220,2,1,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-22840443/original/246beaab-6c3b-4a02-868a-9a460517fe3c.jpeg","https://www.airbnb.com/rooms/22840443","A 360 sq ft underground hobbit hole in the Tennessee woods — full kitchen, full bathroom, and a door that opens onto the forest floor. Tiny, earthy, and utterly charming. The Shire is real, and it's in Middle Tennessee."
"Hobbit Style Underground Cabin","underground-cabin-broadway-va","Secluded earth home in the Blue Ridge foothills","Broadway, Virginia","Virginia","Southeast",6,"Airbnb",185,4.9,145,4,2,false,false,false,"https://a0.muscache.com/im/pictures/c530642f-8efa-4576-83e7-5e123376cc50.jpg","https://www.airbnb.com/rooms/42388319","A secluded hobbit-style underground cabin nestled in the valley of Virginia's Blue Ridge Mountains. Earth walls, wood beams, and a round door — private, quiet, and shielded by the mountain itself."
"The Hobbit House","hobbit-house-russellville-ar","Fantasy comes home in the Arkansas hills","Russellville, Arkansas","Arkansas","South",6,"VRBO",175,4.87,,4,2,false,false,false,"https://images.trvl-media.com/lodging/56000000/55330000/55321200/55321109/0987c49d.jpg","https://www.vrbo.com/2011545","A storybook earth home built into the Arkansas hillside with an iconic round door, stone walls, and curved hobbit-scale ceilings. Two bedrooms, whimsical details throughout, and wooded privacy that makes the fantasy feel completely real."
"The Kiva Cave Creek","kiva-cave-creek-az","Underground kiva earthen home in the Sonoran desert","Cave Creek, Arizona","Arizona","Southwest",6,"Airbnb",225,4.88,195,2,1,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-7958261/original/71edc263-be47-44ac-94d0-54d91601a485.jpeg","https://www.airbnb.com/rooms/7958261","An underground kiva-inspired earthen home in Cave Creek, AZ — circular, earth-sheltered, and perfectly cool against Arizona's heat. Authentic Native-inspired architecture with handcrafted details, saguaro views, and desert silence."
"The Caves at Moab — Private Riverside Ranch","caves-at-moab-ut","Red rock caves at a private Colorado River ranch","Moab, Utah","Utah","Southwest",6,"Airbnb",375,4.94,85,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-897320869528524610/original/cfa27324-1d54-43c2-9853-ebb8e2827a65.jpeg","https://www.airbnb.com/rooms/897320869528524610","Caves carved directly into the red rock formations of a private riverside ranch outside Moab — surrounded by the canyon country that defines the Southwest. Sleep inside the earth, wake to Arches country light."
"The Shire of Montana","shire-of-montana-trout-creek","Fully underground luxury retreat, 55°F year-round","Trout Creek, Montana","Montana","West",6,"VRBO",595,4.9,,6,3,false,false,false,"https://media.vrbo.com/lodging/20000000/19560000/19550600/19550584/2125207a.jpg","https://www.vrbo.com/324679","The Shire of Montana is entirely underground — a naturally temperature-stable 55°F retreat built into a Montana hillside. Three bedrooms, full kitchen, luxurious finishes, and the eerie peace of a home that the outside world doesn't know exists."
"The Hobbit Inn","hobbit-inn-orondo-wa","Hand-built earth home above the Columbia River","Orondo, Washington","Washington","West",6,"Airbnb",195,4.92,310,4,2,false,false,false,"https://a0.muscache.com/im/pictures/56bff280-aba3-42f3-af42-adc2814a72f4.jpg","https://www.airbnb.com/rooms/8794484","A curious dwelling built into the hill in a quiet fold of the mountains above the Columbia River in central Washington. Thick earth walls, curved ceilings, and the kind of silence that makes you forget what century it is."
"Tiny Houseboat with Portland Harbor Views","houseboat-harbor-portland-me","New England's hippest harbor, from the water","Portland, Maine","Maine","Northeast",3,"Airbnb",225,4.85,118,2,1,false,false,false,"https://a0.muscache.com/im/pictures/691fde7e-56c9-4857-badd-1bc5e742d9fa.jpg","https://www.airbnb.com/rooms/50435143","A unique tiny houseboat docked in Portland Harbor, ME — wake to lobster boats and working piers, then walk to the Old Port's celebrated restaurants and galleries. One bedroom, cozy, and utterly unlike any hotel in town."
"Boathouse on the Hudson River","boathouse-hudson-saugerties-ny","Panoramic river views two hours from Manhattan","Saugerties, New York","New York","Northeast",3,"Airbnb",345,4.9,298,4,2,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/13332325","An iconic boathouse right on the Hudson River in Saugerties — unobstructed panoramic views of the water and Catskill Mountains beyond. Two bedrooms, wrap-around deck, and the most storied river in American art below."
"Houseboat NOMAD on Lake Pemaquid","houseboat-nomad-pemaquid-me","Mid-Coast Maine lake life, beautifully unmoored","Bremen, Maine","Maine","Northeast",3,"Airbnb",275,4.88,172,4,2,false,false,false,"https://a0.muscache.com/im/pictures/4058aceb-8f9a-4d7a-8f74-4d9351370d29.jpg","https://www.airbnb.com/rooms/23922247","NOMAD is a classic houseboat on Lake Pemaquid in Mid-Coast Maine — a calm, pristine freshwater lake ringed with pine forests. Two bedrooms, a wrap deck, and the quiet confidence of a Maine summer morning on the water."
"Noa's Ark Float-House on the Hudson","noas-ark-float-house-ny","Artisan floating home on New York's storied river","Kingston, New York","New York","Northeast",3,"Airbnb",295,4.95,42,4,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6OTYzNjc0Mzg0MDAxNzQxMTYw/original/7cdbb2a6-d4cc-44e9-b220-9871ec3b8c7e.jpeg","https://www.airbnb.com/rooms/963674384001741160","A lovingly crafted float-house moored on the Hudson River at Kingston — two hours from NYC. Artisan wood interiors, river views from every window, and the Catskill Mountains on the horizon. Peaceful, singular, unforgettable."
"Lake Vermilion Houseboat","lake-vermilion-houseboat-mn","Untamed Minnesota wilderness, delivered by water","Tower, Minnesota","Minnesota","Midwest",3,"Direct",395,4.9,,8,3,false,false,false,"https://i0.wp.com/vermilionhouseboats.com/wp-content/uploads/2020/04/IMG_1347-scaled.jpg","https://vermilionhouseboats.com/our-fleet/","Sleep on Lake Vermilion's wild northern waters aboard a fully equipped houseboat from the Lake Vermilion Houseboat fleet. Three bedrooms, full galley, fishing and kayaks included — immersive Minnesota lake life near the Boundary Waters."
"Gorgeous Houseboat on the Lake of the Ozarks","ozarks-houseboat-mo","Floating getaway near the famous Bagnell Dam Strip","Lake Ozark, Missouri","Missouri","Midwest",3,"Airbnb",245,4.91,48,6,2,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/1450298020987224436","A standout houseboat docked on the Lake of the Ozarks — Missouri's 1,150-mile-shoreline playground. Two bedrooms, wraparound deck, and restaurants, water sports, and the Bagnell Dam Strip's summer energy minutes away."
"Florida Keys Living: Charming Houseboat","key-west-houseboat-fl","Island life on the water, Key West style","Key West, Florida","Florida","Southeast",3,"VRBO",350,4.85,,4,1,false,false,false,"https://media.vrbo.com/lodging/38000000/37720000/37713600/37713540/03f379b3.jpg","https://www.vrbo.com/4243444","A charming houseboat in Key West — the southernmost point in the continental USA. One bedroom, gentle rocking motion, and the sights, sounds, and sunsets of America's most colorful island right outside."
"Florida Keys Luxury Houseboat","keys-luxury-houseboat-fl","Steps to ocean, reef, and island nightlife","Tavernier, Florida","Florida","Southeast",3,"VRBO",445,4.9,,6,2,false,false,false,"https://media.vrbo.com/lodging/20000000/19870000/19860300/19860219/90-1dcd6f05.jpg","https://www.vrbo.com/836359","A fully equipped luxury houseboat at Mile Marker 90 in the upper Florida Keys — prime location steps from restaurants, water sports, and world-class reef snorkeling. Sunrise over the Atlantic, sunset over the Bay."
"Kimbo's Kabin — Norris Lake Houseboat","norris-lake-kimbo-tn","Water-access-only float house, pure Tennessee lake life","LaFollette, Tennessee","Tennessee","Southeast",3,"Airbnb",195,4.92,138,6,2,false,false,false,"https://a0.muscache.com/im/pictures/b5f4691a-be46-469d-95a4-4ded1e79e566.jpg","https://www.airbnb.com/rooms/23596391","Kimbo's Kabin is a water-access-only houseboat moored on pristine Norris Lake in the Tennessee hill country. Arrive by boat, wake to mirror-flat water, and spend the day swimming off the dock — totally unplugged."
"Caddo Lake Houseboat with Kayaks","caddo-lake-houseboat-tx","Cypress swamp adventure from your private dock","Uncertain, Texas","Texas","South",3,"Airbnb",275,4.89,58,6,2,false,false,false,"https://a0.muscache.com/im/pictures/hosting/Hosting-1091081165663800873/original/721040dd-1fd8-49ed-a536-0735264a106d.png","https://www.airbnb.com/rooms/1091081165663800873","Float above the hauntingly beautiful waters of Caddo Lake — Texas's only natural lake, draped in Spanish moss and ancient bald cypress. Two bedrooms, kayaks, and a private dock deep in East Texas solitude."
"Casa Ocaso Houseboat on Lake Travis","casa-ocaso-lake-travis-tx","42-foot Gibson houseboat, rooftop sunset deck","Austin, Texas","Texas","South",3,"Airbnb",325,4.91,78,4,1,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-602860298282797754/original/ac245594-a76e-4795-8530-7bcb3e6d9ab3.jpeg","https://www.airbnb.com/rooms/602860298282797754","A 42-foot Gibson houseboat moored on Lake Travis with a rooftop lounge made for Hill Country sunsets. One bedroom below, the whole lake above — 30 minutes from downtown Austin."
"Portland Floating Home with Sauna","portland-floating-sauna-or","Steam, soak, and float on the Columbia","Portland, Oregon","Oregon","West",3,"Airbnb",275,4.93,62,4,2,false,false,false,"https://a0.muscache.com/im/pictures/prohost-api/Hosting-839115035159081196/original/ed9d487c-32bb-44a7-b03f-7a8a4761eeca.jpeg","https://www.airbnb.com/rooms/839115035159081196","A Pacific Northwest floating home near the Columbia River with a private sauna — the ultimate after-adventure recovery retreat. Kayak from your doorstep, then unwind with the river rocking you to sleep."
"Floating House on Flathead Lake","flathead-floating-house-mt","Rooftop kayaks on Montana's crown jewel lake","Somers, Montana","Montana","West",3,"VRBO",355,4.9,,8,3,false,false,false,"https://media.vrbo.com/lodging/68000000/67490000/67488600/67488505/278cb5b8.jpg","https://www.vrbo.com/2307623","A genuine floating house moored on Flathead Lake — Montana's 30-mile inland sea beneath the Mission Mountains. Three bedrooms, rooftop sun deck, kayaks, and silence broken only by the water lapping below."
"Little Lux Floating Home","sausalito-floating-home-ca","SF Bay views from your private floating dock","Sausalito, California","California","West",3,"Airbnb",395,4.98,210,2,1,false,false,false,"https://a0.muscache.com/im/pictures/fe7217ff-0b24-438d-880d-b94722c75bf5.jpg","https://www.airbnb.com/rooms/21852195","One of Sausalito's celebrated floating homes — a luminous one-bedroom retreat on Richardson Bay with sweeping San Francisco skyline views. Bobbing gently on the water with the Golden Gate minutes away."
"Gorgeous Floating Home at Skyline Moorage","floating-home-portland-or","Brand-new floating home on the Willamette","Portland, Oregon","Oregon","West",3,"Airbnb",245,4.92,28,4,2,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-786331841939255088/original/9d4e8a07-de9e-4da5-9f2d-b62f433dc1a1.jpeg","https://www.airbnb.com/rooms/786331841939255088","Brand-new floating home at Portland's Skyline Moorage on the lower Willamette River. Two bedrooms, full kitchen, and a private deck right above the water — downtown Portland a short drive away."
"Postcard Cabins Lake Hartwell","postcard-lake-hartwell-sc","Tiny lakeside cabin in South Carolina Upcountry","Seneca, South Carolina","South Carolina","Southeast",8,"Direct",189,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-gsplh-exterior-7-24741:Wide-Hor","https://postcardcabins.com/lake-hartwell/","Postcard Cabins on the shores of Lake Hartwell in South Carolina's scenic Upcountry — 40 upscale tiny cabins 50 minutes from Greenville. Kayaking, swimming, and the unhurried quiet of a lake community outside your door."
"Postcard Cabins Dale Hollow","postcard-dale-hollow-tn","Tiny cabin community on Tennessee's clearest lake","Celina, Tennessee","Tennessee","Southeast",8,"Direct",199,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-bnadl-exterior-193-24522:Wide-Hor","https://postcardcabins.com/dale-hollow/","Postcard Cabins at Dale Hollow — 40 premium tiny cabins on hundreds of private acres in Celina, Tennessee, just 2 hours from Nashville. Dale Hollow Lake is one of the clearest in the country and the swimming is extraordinary."
"Postcard Cabins Suches — Valley Above the Clouds","postcard-suches-ga","Tiny cabin hideaway in Georgia's legendary cloud valley","Suches, Georgia","Georgia","Southeast",8,"Direct",199,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-atlco-jacksonville-postcard-cab-15359:Wide-Hor","https://postcardcabins.com/suches/","Postcard Cabins in Suches, Georgia — locally known as ""the Valley Above the Clouds."" 40 tiny cabins on a wooded 750-acre property with private pond access, hiking, and enough altitude to feel genuinely above it all."
"Countryside Tiny House in the Georgia Mountains","murray-tiny-chatsworth-ga","Full-size comfort in a tiny house near Chatsworth","Chatsworth, Georgia","Georgia","Southeast",8,"VRBO",165,4.88,59,4,2,false,false,false,"https://media.vrbo.com/lodging/105000000/104520000/104518900/104518841/f011c0a4.jpg","https://www.vrbo.com/4873469ha","A tiny house tucked away in Murray County's rural countryside near the Cohutta Wilderness — full-size amenities in a pint-size package, with mountain views, hiking trails, and the best swimming holes in North Georgia nearby."
"Tiny Home in a Tiny Home Community","tiny-community-lancaster-pa","One-of-a-kind tiny village stay in Pennsylvania Dutch Country","Kinzers, Pennsylvania","Pennsylvania","Northeast",8,"VRBO",185,4.86,74,3,1,false,false,false,"https://media.vrbo.com/lodging/97000000/96130000/96120800/96120709/2bcd56cb.jpg","https://www.vrbo.com/3512584","A unique tiny home experience inside a rare tiny home community in Lancaster County, Pennsylvania — Amish country, farm markets, and countryside cycling all within easy reach of this purpose-built tiny village."
"Postcard Cabins Eastern Catskills","postcard-catskills-ny","Tiny cabin retreat 2 hours from New York City","Roxbury, New York","New York","Northeast",8,"Direct",229,4.8,,2,1,false,false,false,"https://cache.marriott.com/is/image/marriotts7prod/oc-albec-whitcombe-james---40-16676:Wide-Hor","https://postcardcabins.com/eastern-catskills/","Postcard Cabins' beloved Catskills outpost — custom-built tiny cabins deep in the Eastern Catskills forests, just 2 hours from Manhattan. Phone-free by design, fire pit by default, and the only city lights visible are stars."
"Luxury Tiny Home in the White Mountains","luxury-tiny-woodstock-nh","Elevated tiny home retreat in New Hampshire's mountain country","North Woodstock, New Hampshire","New Hampshire","Northeast",8,"VRBO",225,4.9,83,4,2,false,false,false,"https://media.vrbo.com/lodging/108000000/107840000/107835300/107835273/2e71633f.jpg","https://www.vrbo.com/4147470","A luxury tiny home getaway in the heart of New Hampshire's White Mountains near Franconia Notch and Kancamagus Highway. Two bedrooms, upscale finishes, and the best fall foliage drive in America right outside."
"Luxury Glass Tiny House with Mountain View","glass-tiny-warren-vt","Most-wishlisted Vermont home — Scandinavian glass with hot tub","Warren, Vermont","Vermont","Northeast",8,"Airbnb",325,4.99,312,2,1,false,false,false,"https://a0.muscache.com/im/pictures/miso/Hosting-708067475095659552/original/f1ed90f2-9870-4c04-bc5b-ed5033b804bc.jpeg","https://www.airbnb.com/rooms/708067475095659552","The most-wishlisted tiny home in Vermont — a 200 sq ft mirrored glass house built in Estonia, set with panoramic views of Sugarbush Mountain and Blueberry Lake. Hot tub, Scandinavian design, and a jaw-dropping transparency with the forest."
